version,code,description,release_date
"",01,Nessuna Indicazione,
"",02,Operatore sanitario,
"",03,Personale di laboratorio,
"",04,Operatore scolastico,
"",05,Lavoratore a contatto con animali o materiale di origine animale,
"",06,Soggetto addetto a servizio pubblico di primario interesse collettivo,
"",07,Altra attivit?? lavorativa a rischio,
"",08,Studente dell???area sanitaria,
"",09,Volontario nel settore della sanit??,
"",10,Soggetto con comportamenti sessuali a rischio o tossicodipendente,
"",11,Detenuto,
"",12,Profilassi post-esposizione,
"",13,Donna in gravidanza,
"",14,Donna in et?? fertile,
"",15,Donatore di sangue appartenente a gruppo sanguigno raro,
"",16,Residente in area a maggior rischio,
"",17,Et?? = 60 anni,
"",18,Et?? > 60 anni,
"",19,Contatto di caso,
"",20,Convivente di soggetto ad alto rischio,
"",21,Ospite in struttura sanitaria e socio-sanitaria residenziale e semi-residenziale,
"",22,Viaggi all'estero,
"",23,Frequenza comunit?? (es. asilo),
"",24,Altro,
"",25,Donna nel periodo ???postpartum???,
"",26,Donatore di sangue,
"",27,Forze di polizia ??? Forze dell???ordine,
"",28,Vigili del fuoco,
"",29,Et?? compresa fra 6 mesi e 6 anni,
"",30,Operatore non sanitario in struttura sanitaria e socio-sanitaria residenziale e semi-residenziale,
"",31,Soggetto vulnerabile per patologia,
"",32,Forze Armate (incluso personale civile amministrazione Difesa),
"",33,Polizia penitenziaria e personale civile che opera negli istituti penitenziari,
"",35,Et?? < 60 anni,
"",99,Dato non Disponibile,
