version,code,description,release_date
4.3.0,/g{hgb},per gram hgb,2022-05-28
4.3.0,/[IU],per international unit,2022-05-28
4.3.0,1,1*,2022-05-28
4.3.0,%{OfWBCs},percent OfWBCs,2022-05-28
4.3.0,%{viable},percent viable,2022-05-28
4.3.0,%{blockade},percent blockade,2022-05-28
4.3.0,10*3.{RBC},Thousand Red Blood Cells,2022-05-28
4.3.0,1/d,one per day,2022-05-28
4.3.0,10*6.[iU],MillionInternationalUnit,2022-05-28
4.3.0,%{Hemolysis},percent Hemolysis,2022-05-28
4.3.0,/h,per hour,2022-05-28
4.3.0,10*6/mL,million per milliliter,2022-05-28
4.3.0,%{Negative Control},percent Negative Control,2022-05-28
4.3.0,%{basal_activity},percent basal activity,2022-05-28
4.3.0,/10*6,PerMillion,2022-05-28
4.3.0,/{tot},per tot,2022-05-28
4.3.0,/10*3,per thousand,2022-05-28
4.3.0,%{loss_AChR},percent loss of acetylcholine receptor,2022-05-28
4.3.0,%{inhibition},percent inhibition,2022-05-28
4.3.0,%{bacteria},percent of bacteria,2022-05-28
4.3.0,',minute,2022-05-28
4.3.0,/100{cells},per 100 cells,2022-05-28
4.3.0,%{Excretion},percent Excretion,2022-05-28
4.3.0,%{HumanResponse},percent HumanResponse,2022-05-28
4.3.0,%{Oxygen},percent Oxygen,2022-05-28
4.3.0,%[slope],percent of slope,2022-05-28
4.3.0,%{Inhibition},percent Inhibition,2022-05-28
4.3.0,/g{tot'nit},per gram tot'nit,2022-05-28
4.3.0,%{Hb},percent hemoglobin,2022-05-28
4.3.0,%,percent,2022-05-28
4.3.0,/ug,per microgram,2022-05-28
4.3.0,%{NormalControl},percent NormalControl,2022-05-28
4.3.0,/10*4{RBCs},per 10 thousand red blood cells,2022-05-28
4.3.0,%{Cound},percent Cound,2022-05-28
4.3.0,10*3,Thousand,2022-05-28
4.3.0,/g{HGB},PerGramHemoglobin,2022-05-28
4.3.0,%{reactive},percent reactive,2022-05-28
4.3.0,%{OfLymphocytes},percent OfLymphocytes,2022-05-28
4.3.0,/mg,per milligram,2022-05-28
4.3.0,%{RBCs},percent of red blood cells,2022-05-28
4.3.0,/kg{body'wt},per kilogram body wt,2022-05-28
4.3.0,10*,the number ten for arbitrary powers,2022-05-28
4.3.0,10*3.U,Thousand Per * Unit,2022-05-28
4.3.0,%{Normal},percent Normal,2022-05-28
4.3.0,/10*3.{RBCs},per thousand red blood cells,2022-05-28
4.3.0,10*6/L,million per liter,2022-05-28
4.3.0,%{binding},percent binding,2022-05-28
4.3.0,/(12.h),per 12 * hour,2022-05-28
4.3.0,%{SpermMotility},percent SpermMotility,2022-05-28
4.3.0,/{OIF},per oil immersion field,2022-05-28
4.3.0,10.uN.s/(cm5.m2),10 micronewton second per centimeter to the fifth power per square meter,2022-05-28
4.3.0,%{Binding},percent Binding,2022-05-28
4.3.0,%{lysis},percent lysis,2022-05-28
4.3.0,/g{tot_nit},per gram of total nitrogen,2022-05-28
4.3.0,%{loss},percent loss,2022-05-28
4.3.0,%{Fat},percent Fat,2022-05-28
4.3.0,%{normal},percent normal,2022-05-28
4.3.0,10.L/min,10 liter per minute,2022-05-28
4.3.0,/s,per second,2022-05-28
4.3.0,%{NormalPooledPlasma},percent NormalPooledPlasma,2022-05-28
4.3.0,%{Live},percent Live,2022-05-28
4.3.0,/10*9,PerBillion,2022-05-28
4.3.0,%{WeightToWeight},percent WeightToWeight,2022-05-28
4.3.0,/wk,per week,2022-05-28
4.3.0,%{ofAvailable},percent ofAvailable,2022-05-28
4.3.0,%{WBCs},percent of white blood cells,2022-05-28
4.3.0,'',second,2022-05-28
4.3.0,/L,per liter,2022-05-28
4.3.0,%{HemoglobinA1C},percent HemoglobinA1C,2022-05-28
